,Ea_o,Hd_o,dS_o,k25_o,residual_o,BIC_o,Parameter,MA,ID,Ea,Hd,dS,k25,residual,BIC,Parameter,MA,ID
1159,36.65749197,200,0.628718174,106.3486193,48.90574573,32.02942187,Jmax,Old,53,34.17486177,200,0.628756783,106.339774,49.13787063,32.05309759,Jmax,New,53
1161,36.4448856,200,0.625541327,142.4489556,27.33840933,29.12141066,Jmax,Old,54,33.95798319,200,0.625589125,142.4379671,27.34370735,29.12237954,Jmax,New,54
402,40,40,0.65,76.93962362,8.08E-28,-59.54536918,Jmax,Old,55,40,42,0.65,76.93962362,0.048716402,-0.183862434,Jmax,New,55
1163,40,200,0.65,76.93962362,184.7568978,8.056917961,Jmax,Old,55,40,200,0.65,76.93962362,211.9536189,8.194244538,Jmax,New,55
52,34.90815508,1273.173898,4.038437898,115.5731514,13.81277646,27.3173553,Jmax,Old,56,32.41092102,1576.318004,5.007109333,115.5603206,13.67475925,27.26714405,Jmax,New,56
1165,35.27289366,200,0.611865628,115.7527455,17.18973954,26.80151076,Jmax,Old,56,32.78496369,200,0.612071857,115.7424488,17.09818273,26.77480834,Jmax,New,56
216,325.3417352,309.0522714,1.061362304,132.4208454,125.2356089,38.3403695,Jmax,Old,57,321.895295,308.1726943,1.058324614,132.4273641,124.9742206,38.32992274,Jmax,New,57
1167,31.96558136,200,0.624695048,121.8259269,510.4939108,43.75684097,Jmax,Old,57,29.48436673,200,0.624752812,121.813709,511.4709459,43.76640133,Jmax,New,57
28,40,28,0.65,155.2657614,1870.036861,33.31199604,Jmax,Old,58,40,30,0.65,155.2657614,1867.394627,33.30775425,Jmax,New,58
1169,52.07972921,200,0.633333386,111.3663309,6.66E-27,-171.2068557,Jmax,Old,58,49.59544342,200,0.633366512,111.3680278,2.36E-26,-167.4098565,Jmax,New,58
1837,27.96530814,400.504479,1.271175129,118.1574,163.9303919,39.68659482,Jmax,Old,59,25.51919517,396.220013,1.257545802,118.1539474,164.2011061,39.694845,Jmax,New,59
1171,34.25867111,200,0.634427396,119.58699,178.2988414,38.49725255,Jmax,Old,59,31.78135625,200,0.634453802,119.5777438,178.3583529,38.49892114,Jmax,New,59
1173,44.91016712,200,0.644500698,143.9059574,61.93149684,51.68903067,Jmax,Old,60,42.47074751,200,0.644527857,143.9012332,62.24489229,51.73445903,Jmax,New,60
1175,39.72118174,200,0.508455524,224.6613439,5605.881826,65.23317337,Jmax,Old,61,37.32993498,200,0.515093772,224.7637681,5603.852394,65.23100087,Jmax,New,61
403,40,40,0.65,38.95219776,3.68E-26,-55.72628417,Jmax,Old,62,40,42,0.65,38.95219776,0.142191242,0.887294715,Jmax,New,62
1177,40,200,0.65,38.95219776,515.7665182,9.083531245,Jmax,Old,62,40,200,0.65,38.95219776,557.7156832,9.161726371,Jmax,New,62
1179,40,200,0.65,118.4624684,1467.578265,21.64478626,Jmax,Old,63,40,200,0.65,118.4624684,1667.691382,21.90043958,Jmax,New,63
1931,40,193,0.65,107.9081837,160.9218791,25.95361285,Jmax,Old,64,40,193,0.65,107.9081837,21.52319998,19.91825004,Jmax,New,64
1181,44.64284651,200,0.681813546,58.17177967,5.90E-25,-157.7573344,Jmax,Old,64,42.31087489,200,0.681833307,58.17297221,4.20E-24,-151.8691191,Jmax,New,64
1185,191.2002302,200,0.670163267,97.14924326,3268.763546,61.99674589,Jmax,Old,66,188.6445898,200,0.670154589,97.15353006,3268.84607,61.99689737,Jmax,New,66
1187,18.15390407,200,0.528854442,87.00661389,271.6008518,40.60161508,Jmax,Old,67,15.64957703,200,0.536269328,87.00834958,271.5863015,40.60134721,Jmax,New,67
32,40,32,0.65,135.4543438,1192.865527,31.96319687,Jmax,Old,68,40,34,0.65,135.4543438,1191.439808,31.95960911,Jmax,New,68
1189,65.08779788,200,0.64420674,101.4332202,2.92E-25,-159.8625626,Jmax,Old,68,62.61593508,200,0.644223271,101.4332856,1.46E-25,-161.9544609,Jmax,New,68
1191,28.89881147,200,0.643292037,159.3429531,8754.796015,96.25098322,Jmax,Old,69,26.4382364,200,0.643311434,159.3327043,8754.404194,96.25058041,Jmax,New,69
1193,3.917592909,200,0.63131209,136.4262558,5913.083512,83.86463212,Jmax,Old,70,1.446535432,200,0.631349319,136.4084165,5912.724971,83.86414702,Jmax,New,70
2027,56.73178907,80.47772463,0.269514353,26.65380066,154.1851532,72.248972,Jmax,Old,71,54.33645669,80.67016066,0.270154701,26.65470997,154.1753579,72.24827316,Jmax,New,71
1195,25.57952088,200,0.632673188,25.62748717,175.2378281,71.25896558,Jmax,Old,71,23.14558407,200,0.63272422,25.62463833,175.3577251,71.26648916,Jmax,New,71
2292,38.16670547,370.2940981,1.202432772,150.0153843,2550.073164,118.3432123,Jmax,Old,72,35.72484352,369.9808042,1.201431415,150.0123394,2549.788028,118.3417586,Jmax,New,72
1197,43.9409837,200,0.648788388,151.5100862,2712.465003,116.5808279,Jmax,Old,72,41.51132343,200,0.648812415,151.5092103,2712.078142,116.5789737,Jmax,New,72
2381,40.13962887,240.510836,0.794262993,129.1597449,685.8428651,54.41939418,Jmax,Old,73,37.74444336,240.4001777,0.793918025,129.160779,685.7868283,54.41890393,Jmax,New,73
1199,45.93081752,200,0.662421862,127.9695519,695.9528512,52.71543495,Jmax,Old,73,43.53547156,200,0.662440326,127.9705625,695.886372,52.71486179,Jmax,New,73
209,88.99934071,142.8907872,0.491463132,89.40044779,32.24765854,40.28743723,Jmax,Old,74,86.63811167,143.0198509,0.491904898,89.39643327,32.28592393,40.29573857,Jmax,New,74
11100,43.63826102,200,0.663145708,97.49312129,206.5713316,51.34192951,Jmax,Old,74,41.27951658,200,0.663174613,97.49977542,206.8132634,51.35012296,Jmax,New,74
11101,37.40290504,200,0.637627343,44.25341396,86.20197325,34.86341276,Jmax,Old,75,34.96917993,200,0.637674383,44.24983846,86.03482339,34.85370811,Jmax,New,75
11102,60.18736386,200,0.635120326,47.79886282,40.53315555,31.09054889,Jmax,Old,76,57.69640773,200,0.635140795,47.79839635,40.49629715,31.08600013,Jmax,New,76
2314,443.7390657,444.0609106,1.491016206,51.77882605,747.8995249,47.27572855,Jmax,Old,77,441.1959655,444.0872828,1.491093089,51.77746962,747.6515739,47.27407063,Jmax,New,77
11103,194.1332586,200,0.669850099,51.38449056,975.233722,46.99333321,Jmax,Old,77,191.5566906,200,0.669837855,51.38506756,975.2401733,46.99336628,Jmax,New,77
11104,64.28170805,200,0.63584272,41.7409884,44.24369865,31.52851221,Jmax,Old,78,61.79012212,200,0.635861981,41.74083785,44.20279274,31.52388728,Jmax,New,78
11105,99.65646657,200,0.643850325,38.4077009,123.2953174,30.60983799,Jmax,Old,79,97.16219974,200,0.643863332,38.41176796,123.3316192,30.61101554,Jmax,New,79
2442,58.95878208,1066.653481,3.442266658,160.4572644,16629.05516,161.2712553,Jmax,Old,80,56.44793679,1066.491827,3.441749904,160.4592281,16622.27485,161.265138,Jmax,New,80
11106,73.14940944,200,0.64533703,166.8480469,31959.11572,168.3627948,Jmax,Old,80,70.65928631,200,0.645346782,166.8516127,31959.24227,168.3628541,Jmax,New,80
1926,738.8718041,716.7718368,2.383207407,5.283439504,3.38789877,17.61864222,Jmax,Old,81,750.827127,731.3066253,2.431155181,4.834126748,3.332209563,17.55234509,Jmax,New,81
11107,34.62018826,200,0.615883084,59.54036683,19.25254824,23.18208198,Jmax,Old,81,32.0878831,200,0.615934339,59.55519864,19.2776735,23.18729872,Jmax,New,81
11108,121.7620057,200,0.649101801,26.73075667,3738.924557,62.80306324,Jmax,Old,82,119.224328,200,0.64910566,26.73731811,3740.086887,62.80492819,Jmax,New,82
11109,38.01632139,200,0.627262272,34.90524362,80.88973324,39.80226491,Jmax,Old,83,35.51817271,200,0.627297064,34.90546271,80.87720907,39.80133586,Jmax,New,83
311,82.36566154,67.60955393,0.217036207,33.5650356,127.9563227,38.44783022,Jmax,Old,84,77.70220303,113.5806524,0.359153906,32.67436736,108.6545753,37.63025441,Jmax,New,84
11110,75.91942777,200,0.63132953,31.91662284,89.14944725,35.03151814,Jmax,Old,84,73.41996699,200,0.631352854,31.91708635,89.0812573,35.0276922,Jmax,New,84
236,96.50475291,111.6017788,0.367636622,60.25170361,1106.536994,57.28944648,Jmax,Old,85,94.05810908,111.7417018,0.368100069,60.2514945,1106.501528,57.28925417,Jmax,New,85
11111,51.85314407,200,0.631274446,59.69544303,1143.344975,55.69402406,Jmax,Old,85,49.36267813,200,0.631301711,59.69301292,1143.419191,55.69441352,Jmax,New,85
2402,126.1539058,152.6901602,0.500169381,36.14603329,3.390667642,20.29451957,Jmax,Old,86,123.6715731,152.7924282,0.500505417,36.14553302,3.393124834,20.29814172,Jmax,New,86
11112,90.08095993,200,0.641147362,35.88025979,10.75787875,24.45813938,Jmax,Old,86,87.61135348,200,0.64116763,35.87918593,10.76636495,24.46208201,Jmax,New,86
2112,41.38185841,578.1789003,1.838468121,40.28708791,1.32E-26,-225.6274556,Jmax,Old,88,38.88393164,574.1284651,1.825555242,40.28720002,8.43E-26,-218.2056176,Jmax,New,88
11113,55.07083337,200,0.636578498,39.47181643,3.877338663,16.77210429,Jmax,Old,88,52.5775938,200,0.6365969,39.47289727,3.87099953,16.76555927,Jmax,New,88
2029,70.35880746,1653.214897,5.267833379,52.26798826,3442.730833,64.09962462,Jmax,Old,89,67.83801259,1651.439491,5.262183392,52.26948747,3442.32255,64.09891302,Jmax,New,89
11114,91.73593726,200,0.642874413,53.74029258,3821.999752,62.93491782,Jmax,Old,89,89.24673408,200,0.642889109,53.74428089,3822.02982,62.93496502,Jmax,New,89
221,271.7635484,273.9732744,0.917275242,45.74871219,165.17623,39.72445015,Jmax,Old,90,269.2234119,274.0107818,0.917389476,45.74801746,165.0871548,39.72175306,Jmax,New,90
11115,185.6600145,200,0.665480633,45.77440527,200.2422585,39.07758705,Jmax,Old,90,183.0631055,200,0.665465704,45.77555243,200.2569689,39.07795435,Jmax,New,90
11116,45.78941479,200,0.649595063,75.35737593,1106.167567,55.49568353,Jmax,Old,91,43.38552442,200,0.649625337,75.3589732,1106.671928,55.49841862,Jmax,New,91
