,Ea_o,Hd_o,dS_o,k25_o,residual_o,BIC_o,Parameter,MA,ID,Ea,Hd,dS,k25,residual,BIC,Parameter,MA,ID
1379,105.7419137,200,0.631547357,16.44011589,41.13324554,31.16403086,Vcmax,Old,78,103.2385024,200,0.631569061,16.44088422,41.10642497,31.16076959,Vcmax,New,78
1380,172.8438826,200,0.645910407,12.88947915,240.6058485,39.99574797,Vcmax,Old,79,170.2981345,200,0.645913963,12.89482182,240.6778573,39.99724416,Vcmax,New,79
2059,72.90691255,1048.742561,3.380371513,95.08182513,4466.211649,149.3762903,Vcmax,Old,80,70.39347031,1048.431105,3.379372124,95.08515103,4463.83177,149.3677622,Vcmax,New,80
1381,88.2096766,200,0.643905327,97.4392805,9030.134643,157.8681293,Vcmax,Old,80,85.71813246,200,0.643916079,97.44272289,9029.831315,157.8675918,Vcmax,New,80
1921,441.981886,416.366524,1.382213894,10.21003259,1.37E-24,-207.0516608,Vcmax,Old,81,438.5145935,415.5136856,1.379378411,10.25081809,4.22E-25,-211.7606824,Vcmax,New,81
1382,68.21111473,200,0.628162814,39.14707735,31.8020253,25.18962817,Vcmax,Old,81,65.6900954,200,0.628183498,39.15414889,31.82050345,25.19195164,Vcmax,New,81
1383,164.2891735,200,0.649627519,13.77654622,2406.644071,60.15967479,Vcmax,Old,82,161.7390272,200,0.649629392,13.780917,2407.537351,60.16190141,Vcmax,New,82
1384,81.09363974,200,0.62327847,12.4766662,9.704620721,27.07935627,Vcmax,Old,83,78.59054298,200,0.623324856,12.47692159,9.705140798,27.07967781,Vcmax,New,83
1881,103.4115744,537.0011351,1.709210122,19.29330052,220.2771846,41.16381875,Vcmax,Old,84,112.3448376,173.119571,0.553067665,20.22973852,287.8747406,42.50201262,Vcmax,New,84
1385,114.8300588,200,0.638120229,19.65949752,273.8521906,40.64288997,Vcmax,Old,84,112.322824,200,0.638133559,19.66179891,273.803961,40.64200932,Vcmax,New,84
2131,307.345798,249.1327106,0.84411256,32.60190011,619.7097144,60.97807733,Vcmax,Old,85,304.8013055,249.1705174,0.844215396,32.60382637,619.571246,60.97651307,Vcmax,New,85
1386,85.84050875,200,0.626366185,32.10366978,730.1350211,60.18001536,Vcmax,Old,85,83.3467691,200,0.626404666,32.10185425,730.2948521,60.18154753,Vcmax,New,85
2414,249.6406436,236.3089471,0.787914735,21.85973301,0.90208642,13.67416056,Vcmax,Old,86,247.0542337,236.317844,0.787929583,21.8588628,0.904389584,13.68691006,Vcmax,New,86
1387,200.067726,200,0.662743889,21.97295204,3.805399081,19.26205177,Vcmax,Old,86,197.4491045,200,0.662725393,21.97375185,3.820886191,19.28235933,Vcmax,New,86
2472,81.10970417,538.1920813,1.711764124,19.73725692,3.854537032,20.93563985,Vcmax,Old,88,78.62151438,534.5205547,1.700063749,19.73661111,3.857065321,20.93891841,Vcmax,New,88
