,DOY,Location,plant_C_ medlyn_W1_fix,photo_medlyn_W1_fix,AR_medlyn_W1_fix,plant_C_new_W1_fix,photo_new_W1_fix,AR_new_W1_fix,plant_C_medlyn_W12_fix,photo_medlyn_W12_fix,AR_medlyn_W12_fix,plant_C_new_W12_fix,photo_new_W12_fix,AR_new_W12_fix,plant_C_ medlyn_W1_var,photo_medlyn_W1_var,AR_medlyn_W1_var,plant_C_ new_W1_var,photo_new_W1_var,AR_new_W1_var,plant_C_ medlyn_W12_var,photo_medlyn_W12_var,AR_medlyn_W12_var,plant_C_ new_W12_var,photo_new_W12_var,AR_new_W12_var
238,Aug_18,London,0.09536483,0.132222687,3.587367762,0.095364351,0.132222208,3.587354766,0.113466992,0.224628983,2.020735522,0.113466179,0.224628169,2.020728202,0.11245066,0.149308517,4.0509278,0.112444562,0.149302419,4.050762349,0.142493573,0.253655564,2.281855178,0.142483213,0.253645204,2.28176198
239,Aug_19,Albuquerque,-0.027113953,0.040937013,0.601564023,-0.027111295,0.04093967,0.601603079,-0.135481102,0.069546609,0.339205898,-0.135476587,0.069551124,0.33922792,-0.301343082,-0.233292117,-3.428197013,-0.312986695,-0.24493573,-3.599298374,-0.601360383,-0.396332672,-1.933068803,-0.621141352,-0.416113641,-2.029548294
240,Aug_19,London,0.095797521,0.13202111,3.644617085,0.095801423,0.132025011,3.644724799,0.11491087,0.224286529,2.050607329,0.114917498,0.224293158,2.050667933,0.115112561,0.151336149,4.177834261,0.115114673,0.151338262,4.177892573,0.147724585,0.257100245,2.350616636,0.147728174,0.257103833,2.350649445
241,May_17,Albuquerque,0.066824367,0.094487125,3.415679877,0.066834901,0.094497659,3.416060679,0.077354502,0.160521217,1.930113718,0.077372398,0.160539113,1.9303289,0.08625313,0.113915888,4.118023561,0.086256461,0.113919218,4.118143959,0.11036142,0.193528135,2.326990249,0.110367078,0.193533793,2.327058282
242,May_17,London,0.047553021,0.067243542,3.41502097,0.047589255,0.067279776,3.416861145,0.055215248,0.114237948,1.935491747,0.055276805,0.114299505,1.936534681,0.028381178,0.048071699,2.441362495,0.028404957,0.048095478,2.442570115,0.022644805,0.081667505,1.383662649,0.022685202,0.081707902,1.384347077
243,May_18,Albuquerque,0.089474012,0.121089163,3.830099178,0.089496979,0.12111213,3.830825638,0.11100001,0.205714587,2.171942198,0.111039028,0.205753605,2.172354152,0.10076753,0.132382681,4.187317726,0.100787827,0.132402978,4.187959731,0.130186214,0.224900791,2.374510852,0.130220696,0.224935273,2.374874915
244,May_18,London,0.05626074,0.074094016,4.154818094,0.056296188,0.074129463,4.156805822,0.071715218,0.125876003,2.324117038,0.071775439,0.125936224,2.325228931,0.061509126,0.079342402,4.449121062,0.061513919,0.079347195,4.449389852,0.080631537,0.134792321,2.48874387,0.08063968,0.134800465,2.488894226
245,May_19,Albuquerque,0.044266592,0.067619181,2.895575339,0.044290321,0.06764291,2.896591454,0.044878856,0.114876108,1.641151672,0.044919168,0.114916421,1.641727585,0.069077343,0.092429932,3.958016503,0.069128258,0.092480847,3.960196745,0.087029065,0.157026318,2.243321151,0.087115562,0.157112814,2.244556867
246,May_19,London,0.098300229,0.125542004,4.608436955,0.098303891,0.125545666,4.608571388,0.130059511,0.21327938,2.562842062,0.130065733,0.213285601,2.562916822,0.109585643,0.136827418,5.022705631,0.109586143,0.136827918,5.022723975,0.149231948,0.232451817,2.793224987,0.149232797,0.232452666,2.793235189
247,Oct_17,Albuquerque,0.067231856,0.100912499,2.99615719,0.067232168,0.100912811,2.996166457,0.070721059,0.171437084,1.702182785,0.070721589,0.171437614,1.70218805,0.075758555,0.109439197,3.249320375,0.075759852,0.109440495,3.249358894,0.0852068,0.185922825,1.846010357,0.085209004,0.185925029,1.846032241
